	Sobre as Leis	Acesso à justiça	Serviços públicos
Sobre	blablabla	Decreto 7.747/2012        Institui a Política Nacional de Gestão Territorial e Ambiental das Terras indígenas. Convenção 169 da OIT        2011        Os povos indígenas e tribais deverão gozar plenamente dos direitos humanos e liberdades fundamentais, sem obstáculos e discriminação. Lei 12.651/2012        O Novo Código Florestal Portaria 2.866/2011        Política Nacional de Saúde Integral das Populações do Campo e da Floresta Projeto de Lei 2057/  paralisada desde 1994        1991        Estatuto das Sociedades Indígenas  Lei Nº 6.001/1973        Estatuto do Índio: O Estatuto do Índio regula a situação jurídica dos índios ou silvícolas e das comunidades indígenas, com o propósito de preservar a sua cultura e integrá-los, progressiva e harmoniosamente, à comunhão nacional.	sobre Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Informações	O programa Mulhere-se oferece consulta para os grupos x,x,x,x,x,x,x,x em versão para tv digital...	Vozes De Um Túmulo Morri!E a Terra a mãe comum  o brilho Destes meus olhos apagou!... Assim Tântalo, aos reais convivas, num festim,  Serviu as carnes do seu próprio filho! Por que para este cemitério vim?! Por quê?!Antes da vida o angusto trilho Palmilhasse, do que este que palmilho E que me assombra, porque não tem fim!  No ardor do sonho que o fronema exalta Construí de orgulho ênea pirâmide alta... Hoje, porém, que se desmoronou  A pirâmide real do meu orgulho, Hoje que apenas sou matéria e entulho Tenho consciência de que nada sou! 	info Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Idosas	Psicologia de um Vencido Eu, filho do carbono e do amoníaco, Monstro de escuridão e rutilância, Sofro, desde a epigênese da infância, A influência má dos signos do zodíaco. Produndissimamente hipocondríaco, Este ambiente me causa repugnância... Sobe-me à boca uma ânsia náloga à ânsia Que se escapa da boca de um cardíaco.  Já o verme -- este operário das ruínas -- Que o sangue podre das carnificinas Come, e à vida em geral declara guerra,  Anda a espreitar meus olhos para roê-los, E há de deixar-me apenas os cabelos, Na frialdade inorgânica da erra! 	A Nau Sôfrega, alçando o hirto esporão guerreiro, Zarpa. A íngreme cordoalha úmida fica... Lambe-lhe a quilha e espúmea onda impudica  E ébrios tritões, babando, haurem-lhe o cheiro! Na glauca artéria equórea ou no estaleiro Ergue a alta mastreação, que o Éter indica, E estende os braços de madeira rica  Para as populações do muno inteiro!  Aguarda-a ampla reentrância de angra horrenda, Pára e, a amarra agarrada à âncora, sonha! Mágoas, se as Tem, subjugue-as ou difarce-as...   E não haver uma alma que lhe entenda A angústia transoceânica medonha No rangido de todas as enxárcias!  	idosas Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Negras	Versos Íntimos  Vês! Ninguém assistiu ao formidável Enterro de sua última quimera. Somente a Ingratidão  esta pantera Foi tua companheira inseparável! Acostuma-te à lama que te espera! O homem, que, nesta terra miserável, Mora, entre feras, sente inevitável Necessidade de ambém ser fera.  Toma um fósforo. Acende teu cigarro! O beijo, amigo, é a véspera do escarro, A mão que afaga é a mesma que apedreja.  Se alguém causa inda pena a tua chaga, Apedreja essa mão vil que te afaga, Escarra nessa boca que te beija! 	 Idealismo Falas de amor, e eu ouço tudo e calo! O amor da Humanidade é uma mentira.  É. E é por isto que na minha lira De amores fúteis poucas vezes falo. O amor!Quando virei por fim a amá-lo?!  Quando, se o amor que a Humanidade inspira É o amor do sibarita e da hetaira, De Messalina e de Sardanapalo?!   Pois é mister que, para o amor sagrado, O mundo fique imaterializado  Alavanca desviada do seu fulcro   E haja só amizade verdadeira  Duma caveira para outra caveira, Do meu sepulcro para o teu sepulcro?!	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Em situação de rua	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.	O Deus-Verme Fator universal do transformismo, Filho da teleológica matéria, Na superabundância ou na miséria, Verme  é o seu nome obscuro de batismo. Jamais emprega o acérrimo exorcismo Em sua diária ocupação funérea, E vive em contubérnio com a bactéria, Livre das roupas do antropomorfismo.  Almoça a podridão das drupas agras, Janta hidrópicos, rói ísceras magras E dos defuntos novos incha a mão...  Ah!Para ele é que a carne podre fica, E no inventário da matéria rica Cabe aos seus filhos a maior porção!	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Encarceradas	Agonia de um Filósofo Consulto o Phtah-Hotep. Leio o obsoleto Rig-Veda. E, ante obras tais, me não consolo... O Inconsciente me assombra e eu nele rolo Com a eólica fúria do harmatã inquieto! Assisto agora à morte de um inseto...! Ah!todos os fenômenos do solo Parecem realizar de pólo a pólo O ideal de Anaximandro de Mileto!  No hierático areópago* heterogêneo Das idéias, percorro como um gênio Desde a alma de Haeckel à alma cenobial!...  Rasgo dos mundos o velário espesso; E em tudo, igual a Goethe, reconheço O império da substância universal! 	Vozes De Um Túmulo Morri!E a Terra  a mãe comum  o brilho Destes meus olhos apagou!... Assim Tântalo, aos reais convivas, num festim,  Serviu as carnes do seu próprio filho! Por que para este cemitério vim?! Por quê?!Antes da vida o angusto trilho Palmilhasse, do que este que palmilho E que me assombra, porque não tem fim!  No ardor do sonho que o fronema exalta Construí de orgulho ênea pirâmide alta... Hoje, porém, que se desmoronou  A pirâmide real do meu orgulho, Hoje que apenas sou matéria e entulho Tenho consciência de que nada sou! 	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Com deficiência	Idealização da Humanidade Futura Rugia nos meus centros cerebrais A multidão dos séculos futuros  Homens que a herança de ímpetos impuros Tornara etnicamente irracionais! Não sei que livro, em letras garrafais, Meus olhos liam!No húmus dos monturos, Realizavam-se os artos mais obscuros, Dentre as genealogias animais!  Como quem esmigalha protozoários Meti todos os dedos mercenários Na consciência daquela multidão...  E, em vez de achar a luz que os Céus inflama, Somente achei moléculas de lama E a mosca alegre da putrefação 	A Nau Sôfrega, alçando o hirto esporão guerreiro, Zarpa. A íngreme cordoalha úmida fica... Lambe-lhe a quilha e espúmea onda impudica  E ébrios tritões, babando, haurem-lhe o cheiro! Na glauca artéria equórea ou no estaleiro Ergue a alta mastreação, que o Éter indica, E estende os braços de madeira rica  Para as populações do muno inteiro!  Aguarda-a ampla reentrância de angra horrenda, Pára e, a amarra agarrada à âncora, sonha! Mágoas, se as Tem, subjugue-as ou difarce-as...   E não haver uma alma que lhe entenda A angústia transoceânica medonha No rangido de todas as enxárcias!  	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Usuárias de saúde Mental	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.	 Idealismo Falas de amor, e eu ouço tudo e calo! O amor da Humanidade é uma mentira.  É. E é por isto que na minha lira De amores fúteis poucas vezes falo. O amor!Quando virei por fim a amá-lo?!  Quando, se o amor que a Humanidade inspira É o amor do sibarita e da hetaira, De Messalina e de Sardanapalo?!   Pois é mister que, para o amor sagrado, O mundo fique imaterializado  Alavanca desviada do seu fulcro   E haja só amizade verdadeira  Duma caveira para outra caveira, Do meu sepulcro para o teu sepulcro?!	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Lésbicas	O homem por sobre quem caiu a praga Da tristeza do Mundo, o homem que é triste Para todos os séculos existe E nunca mais o seu pesar se apaga!  Não crê em nada, pois, nada há que traga  Consolo à Mágoa, a que só ele assiste.  Quer resistir, e quanto mais resiste  Mais se lhe  umenta e se lhe afunda a chaga.  Sabe que sofre, mas o que não sabe  É que essa mágoa infinda assim, não cabe  Na sua vida, é que essa mágoa infinda  Transpõe a vida do seu corpo inerme;  E quando esse homem se transforma em verme É essa mágoa que o acompanha ainda!	O Deus-Verme Fator universal do transformismo, Filho da teleológica matéria, Na superabundância ou na miséria, Verme  é o seu nome obscuro de batismo. Jamais emprega o acérrimo exorcismo Em sua diária ocupação funérea, E vive em contubérnio com a bactéria, Livre das roupas do antropomorfismo.  Almoça a podridão das drupas agras, Janta hidrópicos, rói ísceras magras E dos defuntos novos incha a mão...  Ah!Para ele é que a carne podre fica, E no inventário da matéria rica Cabe aos seus filhos a maior porção!	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
Transgêneras	Psicologia de um Vencido Eu, filho do carbono e do amoníaco, Monstro de escuridão e rutilância, Sofro, desde a epigênese da infância, A influência má dos signos do zodíaco. Produndissimamente hipocondríaco, Este ambiente me causa repugnância... Sobe-me à boca uma ânsia náloga à ânsia Que se escapa da boca de um cardíaco.  Já o verme -- este operário das ruínas -- Que o sangue podre das carnificinas Come, e à vida em geral declara guerra,  Anda a espreitar meus olhos para roê-los, E há de deixar-me apenas os cabelos, Na frialdade inorgânica da erra! 	Vozes De Um Túmulo Morri!E a Terra  a mãe comum  o brilho Destes meus olhos apagou!... Assim Tântalo, aos reais convivas, num festim,  Serviu as carnes do seu próprio filho! Por que para este cemitério vim?! Por quê?!Antes da vida o angusto trilho Palmilhasse, do que este que palmilho E que me assombra, porque não tem fim!  No ardor do sonho que o fronema exalta Construí de orgulho ênea pirâmide alta... Hoje, porém, que se desmoronou  A pirâmide real do meu orgulho, Hoje que apenas sou matéria e entulho Tenho consciência de que nada sou! 	Batatinha quando nasce espalha a rama pelo chão. menininha quando dorme põe a mão no coração. Sou pequenininha do tamanho de um botão, carrego papai no bolso e mamãe no coração. O bolso furou e o papai caiu no chão.Mamãe que é mais querida ficou no coração.
